Codigo,Pbt1,Qtara,Tam,Pbt2,Tamax,AET,OBS,Nome
C1,12000,1,14,12000,14,Nao,Veiculo Comum,Caminhao
C2,16000,1,14,16000,14,Nao,Veiculo Comum,Caminhao
C3,23000,1,14,23000,14,Nao,Veiculo Comum,Caminhao
C4,19500,1,14,19500,14,Nao,Veiculo Comum,Caminhao
C5,19500,1,14,19500,14,Nao,Veiculo Comum,Caminhao
C6,22000,1,14,22000,14,Nao,Veiculo Comum,Caminhao
C7,29000,1,14,29000,14,Nao,Veiculo Comum,Caminhao
C8,25500,1,14,25500,14,Nao,Veiculo Comum,Caminhao
C9,25500,1,14,25500,14,Nao,Veiculo Comum,Caminhao
CTS1,26000,2,16,26000,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS2,33000,2,16,33000,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS3,36000,2,16,36000,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS4,41500,2,16,41500,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS5,43000,2,16,43000,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS6,45000,2,16,45000,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS7,33000,2,16,33000,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS8,43000,2,16,43000,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS9,39500,2,16,39500,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS10,45000,2,16,48500,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS11,48500,2,17.5,58500,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS12,45000,2,16,45000,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS13,45000,2,16,50000,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS14,45000,2,16,46500,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS15,45000,2,16,53000,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS16,45000,2,16,49500,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS17,29500,2,16,29500,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS18,36500,2,16,36500,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS19,40000,2,16,40000,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS20,45000,2,16,52500,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS21,45000,2,16,47500,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS22,45000,2,16,54500,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS23,45000,2,16,51000,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS24,39000,2,16,39000,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS25,35500,2,16,35500,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS26,45000,2,16,46000,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS27,42500,2,16,42500,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS28,45000,2,16,49000,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CTS29,45000,2,16,45500,18.60,Nao,Veiculo Comum,Caminhao Trator + Semirreboque
CR1,36000,2,17.5,36000,19.80,Nao,Veiculo Comum,Caminhao + Reboque
CR2,43000,2,17.5,43000,19.80,Nao,Veiculo Comum,Caminhao + Reboque
CR3,45000,2,17.5,50000,19.80,Nao,Veiculo Comum,Caminhao + Reboque
CR4,43000,2,17.5,43000,19.80,Nao,Veiculo Comum,Caminhao + Reboque
CR5,45000,2,17.5,50000,19.80,Nao,Veiculo Comum,Caminhao + Reboque
CR6,45000,2,17.5,57000,19.80,Nao,Veiculo Comum,Caminhao + Reboque
CR7,39500,2,17.5,39500,19.80,Nao,Veiculo Comum,Caminhao + Reboque
CR8,45000,2,17.5,46500,19.80,Nao,Veiculo Comum,Caminhao + Reboque
CR9,45000,2,17.5,53500,19.80,Nao,Veiculo Comum,Caminhao + Reboque
CR10,45000,2,17.5,49000,19.80,Nao,Veiculo Comum,Caminhao + Reboque
CR11,45000,2,17.5,56000,19.80,Nao,Veiculo Comum,Caminhao + Reboque
CR12,45000,2,17.5,45500,19.80,Nao,Veiculo Comum,Caminhao + Reboque
CR13,45000,2,17.5,52500,19.80,Nao,Veiculo Comum,Caminhao + Reboque
CTSR1,45000,3,17.5,46000,19.80,Nao,Veiculo Comum,Caminhao Trator + Semirreboque + Reboque
CTSR2,45000,3,17.5,53000,19.80,Nao,Veiculo Comum,Caminhao Trator + Semirreboque + Reboque
CTSR3,45000,3,17.5,53000,19.80,Nao,Veiculo Comum,Caminhao Trator + Semirreboque + Reboque
CTSR4,45000,3,17.5,53000,19.80,Nao,Veiculo Comum,Caminhao Trator + Semirreboque + Reboque
 CTSR5,45000,3,17.5,49500,19.80,Nao,Veiculo Comum,Caminhao Trator + Semirreboque + Reboque
CTSR6,45000,3,17.5,56500,19.80,Nao,Veiculo Comum,Caminhao Trator + Semirreboque + Reboque
